[ |2021-10-07 07:36:03.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:36:47.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:36:47.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:36:47.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:36:47.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:37:24.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:37:24.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:37:24.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:37:24.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:37:38.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:37:38.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:37:38.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:37:38.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:38:42.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:38:42.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:38:42.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:38:42.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:38:43.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:38:43.000000| ][modelRankingUsuarios::GetJornada] Jornada[2]
[ |2021-10-07 07:38:43.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(2);]
[ |2021-10-07 07:38:44.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:38:47.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:38:47.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:38:47.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:38:47.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:38:49.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:38:49.000000| ][modelRankingUsuarios::GetJornada] Jornada[2]
[ |2021-10-07 07:38:49.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(2);]
[ |2021-10-07 07:38:49.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:38:51.000000| ][ctrlRankingUsuarios.php] [GetGeneral] 
[ |2021-10-07 07:38:51.000000| ][modelRankingUsuarios::GetGeneral] General
[ |2021-10-07 07:38:51.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetGeneral();]
[ |2021-10-07 07:38:51.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:46:12.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:46:12.000000| ][modelRankingUsuarios::GetJornada] Jornada[2]
[ |2021-10-07 07:46:12.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(2);]
[ |2021-10-07 07:46:13.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:46:14.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:46:14.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:46:14.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:46:15.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:47:12.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:47:12.000000| ][modelRankingUsuarios::GetJornada] Jornada[2]
[ |2021-10-07 07:47:12.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(2);]
[ |2021-10-07 07:47:13.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:47:13.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:47:13.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:47:13.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:47:13.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:47:16.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:47:16.000000| ][modelRankingUsuarios::GetJornada] Jornada[2]
[ |2021-10-07 07:47:16.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(2);]
[ |2021-10-07 07:47:16.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:47:19.000000| ][ctrlRankingUsuarios.php] [GetGeneral] 
[ |2021-10-07 07:47:19.000000| ][modelRankingUsuarios::GetGeneral] General
[ |2021-10-07 07:47:19.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetGeneral();]
[ |2021-10-07 07:47:19.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:47:22.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:47:22.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:47:22.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:47:22.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:47:25.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:47:25.000000| ][modelRankingUsuarios::GetJornada] Jornada[2]
[ |2021-10-07 07:47:25.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(2);]
[ |2021-10-07 07:47:25.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 07:47:27.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 07:47:27.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 07:47:27.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 07:47:27.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
[ |2021-10-07 08:23:14.000000| ][ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 08:23:14.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 08:23:14.000000| ][CDataBase::getConsulta] DataBase[1001] Consulta [call SP_GetJornada(1);]
[ |2021-10-07 08:23:14.000000| ][CDataBase::getConsulta] Consulta realizada correctamente 
